ANZSOCGroup,MapDetailName,Region,NumberofVictimisations,NumberofRecords,OccurrenceDayOfWeek,Weapon,YearMonth
AggravatedSexualAssault,BeachhavenSouth.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,EpuniEast.,WellingtonRegion,1,1,Fri,None,1/11/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,Wharenui.,CanterburyRegion,1,1,Mon,NotApplicable,1/11/14
Non-AggravatedSexualAssault,Waltham.,CanterburyRegion,1,1,Mon,NotApplicable,1/11/14
AggravatedSexualAssault,Miramar.,WellingtonRegion,1,1,Sat,NotStated,1/11/14
AggravatedSexualAssault,HalswellDomain.,CanterburyRegion,1,1,Sat,NotApplicable,1/11/14
AggravatedSexualAssault,RollestonCentral.,CanterburyRegion,1,1,Sat,NotApplicable,1/11/14
Non-AggravatedSexualAssault,HuttCentral.,WellingtonRegion,1,1,Sat,NotApplicable,1/11/14
Non-AggravatedSexualAssault,Sydenham.,CanterburyRegion,1,1,Sat,NotApplicable,1/11/14
AggravatedSexualAssault,KilbirnieEast.,WellingtonRegion,1,1,Thu,NotApplicable,1/11/14
Non-AggravatedSexualAssault,WillisStreet-CambridgeTerrace.,WellingtonRegion,1,1,Tue,NotApplicable,1/11/14
AggravatedSexualAssault,NewtownEast.,WellingtonRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,WillisStreet-CambridgeTerrace.,WellingtonRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,KaikouraTownship.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,Trafalgar.,NelsonRegion,1,1,UNKNOWN,NotApplicable,1/11/14
Non-AggravatedSexualAssault,OtaraWest.,AucklandRegion,1,1,Wed,NotApplicable,1/09/14
Non-AggravatedSexualAssault,CannonsCreekEast.,WellingtonRegion,1,1,Mon,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Papaeoia.,Manawatu-WanganuiRegion,1,1,Sun,NotStated,1/09/14
AggravatedSexualAssault,GonvilleWest.,Manawatu-WanganuiRegion,1,1,Tue,NotApplicable,1/09/14
AggravatedSexualAssault,AwapuniSouth.,Manawatu-WanganuiRegion,1,1,Tue,NotApplicable,1/09/14
AggravatedSexualAssault,Waitangirua.,WellingtonRegion,1,1,UNKNOWN,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Waitangirua.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,Highbury.,Manawatu-WanganuiRegion,1,1,Wed,NotApplicable,1/09/14
AggravatedSexualAssault,SpringvaleEast.,Manawatu-WanganuiRegion,1,1,Wed,NotStated,1/09/14
AggravatedSexualAssault,WhangareiCentral.,NorthlandRegion,1,1,Fri,NotApplicable,1/09/14
Non-AggravatedSexualAssault,WhangareiCentral.,NorthlandRegion,1,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,RanuiDomain.,AucklandRegion,1,1,Sat,NotApplicable,1/09/14
AggravatedSexualAssault,Matakana.,AucklandRegion,1,1,Sat,NotStated,1/09/14
AggravatedSexualAssault,Onerahi.,NorthlandRegion,1,1,Thu,NotApplicable,1/09/14
AggravatedSexualAssault,BlenheimCentral.,MarlboroughRegion,1,1,UNKNOWN,NotStated,1/11/14
Non-AggravatedSexualAssault,Edgeware.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
Non-AggravatedSexualAssault,Chertsey.,CanterburyRegion,1,1,UNKNOWN,NotStated,1/11/14
AggravatedSexualAssault,AshburtonCentralEast.,CanterburyRegion,1,1,Wed,NotApplicable,1/11/14
AggravatedSexualAssault,WelcomeBayEast.,BayofPlentyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,Porritt.,WaikatoRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,TakapunaCentral.,AucklandRegion,1,1,Thu,NotApplicable,1/09/14
AggravatedSexualAssault,Awanui.,NorthlandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,KaitaiaWest.,NorthlandRegion,1,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,HokiangaNorth.,NorthlandRegion,1,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,Sunnybrae.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,TeAtatuCentral.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,WaimumuSouth.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,ParrsParkWest.,AucklandRegion,1,1,Wed,NotApplicable,1/09/14
AggravatedSexualAssault,MasseyWest.,AucklandRegion,1,1,Wed,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Fairdene.,AucklandRegion,1,1,Wed,NotApplicable,1/09/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Fri,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Middleton.,CanterburyRegion,1,1,Fri,NotStated,1/09/14
AggravatedSexualAssault,Middleton.,CanterburyRegion,1,1,Sat,NotApplicable,1/09/14
AggravatedSexualAssault,WoburnNorth.,WellingtonRegion,1,1,Sun,NotApplicable,1/09/14
AggravatedSexualAssault,Rawhiti.,CanterburyRegion,1,1,Thu,NotApplicable,1/09/14
Non-AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Thu,NotApplicable,1/09/14
AggravatedSexualAssault,Nayland.,NelsonRegion,1,1,Tue,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Linwood.,CanterburyRegion,1,1,Tue,NotApplicable,1/09/14
Non-AggravatedSexualAssault,TheWood.,NelsonRegion,1,1,Tue,NotApplicable,1/09/14
AggravatedSexualAssault,Wainoni.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,Wairarapa.,CanterburyRegion,5,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,WoodendBeach.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,Lincoln.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,Seaview.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,Wairarapa.,CanterburyRegion,2,1,UNKNOWN,NotStated,1/09/14
Non-AggravatedSexualAssault,Riccarton.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Hurunui.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
Non-AggravatedSexualAssault,WestMelton.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Adelaide.,WellingtonRegion,1,1,Wed,NotApplicable,1/09/14
Non-AggravatedSexualAssault,RiccartonWest.,CanterburyRegion,1,1,Wed,NotApplicable,1/09/14
Non-AggravatedSexualAssault,RiccartonWest.,CanterburyRegion,1,1,Wed,NotApplicable,1/09/14
AggravatedSexualAssault,Kawerau.,BayofPlentyRegion,1,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,TeTeko.,BayofPlentyRegion,1,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,TePukeEast.,BayofPlentyRegion,1,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,KatikatiCommunity.,BayofPlentyRegion,1,1,Mon,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Pongakawa.,BayofPlentyRegion,1,1,Sat,NotApplicable,1/09/14
AggravatedSexualAssault,Tuakau.,WaikatoRegion,1,1,Fri,NotApplicable,1/09/14
AggravatedSexualAssault,Crawshaw.,WaikatoRegion,1,1,Fri,NotApplicable,1/09/14
Non-AggravatedSexualAssault,HamiltonCentral.,WaikatoRegion,1,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,TeRapa.,WaikatoRegion,1,1,Tue,NotApplicable,1/09/14
Non-AggravatedSexualAssault,HamiltonLake.,WaikatoRegion,1,1,Fri,NotApplicable,1/02/15
Non-AggravatedSexualAssault,HamiltonLake.,WaikatoRegion,1,1,Sun,NotApplicable,1/02/15
Non-AggravatedSexualAssault,Beerescourt.,WaikatoRegion,1,1,Sun,NotStated,1/02/15
Non-AggravatedSexualAssault,HamiltonCentral.,WaikatoRegion,1,1,Thu,NotStated,1/02/15
AggravatedSexualAssault,HamiltonCentral.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/02/15
Non-AggravatedSexualAssault,Naylor.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/02/15
Non-AggravatedSexualAssault,HamiltonCentral.,WaikatoRegion,1,1,UNKNOWN,NotStated,1/02/15
AggravatedSexualAssault,Onewhero.,WaikatoRegion,1,1,UNKNOWN,NotStated,1/09/14
AggravatedSexualAssault,HamiltonLake.,WaikatoRegion,1,1,Wed,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Swarbrick.,WaikatoRegion,1,1,Wed,NotApplicable,1/09/14
AggravatedSexualAssault,MatamataSouth.,WaikatoRegion,1,1,Mon,NotApplicable,1/09/14
AggravatedSexualAssault,Waihi.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/09/14
AggravatedSexualAssault,OtorohangaRuralEast.,WaikatoRegion,1,1,Mon,NotApplicable,1/09/14
Non-AggravatedSexualAssault,Strathmore.,WaikatoRegion,1,1,Sat,NotApplicable,1/02/15
AggravatedSexualAssault,PapakuraEast.,AucklandRegion,1,1,Thu,NotApplicable,1/02/15
AggravatedSexualAssault,Wymondley.,AucklandRegion,1,1,Mon,NotApplicable,1/02/15
AggravatedSexualAssault,PuketeWest.,WaikatoRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,Chedworth.,WaikatoRegion,1,1,Fri,NotStated,1/11/14
AggravatedSexualAssault,HamiltonCentral.,WaikatoRegion,1,1,Sun,NotApplicable,1/11/14
AggravatedSexualAssault,Porritt.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,Naylor.,WaikatoRegion,2,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,University.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,Enderley.,WaikatoRegion,6,1,UNKNOWN,NotStated,1/11/14
AggravatedSexualAssault,Kingdale.,AucklandRegion,1,1,Wed,NotStated,1/03/15
Non-AggravatedSexualAssault,Horahora.,NorthlandRegion,1,1,Wed,NotStated,1/03/15
AggravatedSexualAssault,BarringtonNorth.,CanterburyRegion,1,1,Fri,NotApplicable,1/03/15
AggravatedSexualAssault,UnsworthHeights.,AucklandRegion,1,1,Sun,NotApplicable,1/10/14
AggravatedSexualAssault,AvondaleSouth.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/08/14
AggravatedSexualAssault,PapatoetoeCentral.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/02/15
AggravatedSexualAssault,SpringvaleEast.,Manawatu-WanganuiRegion,1,1,Sun,NotStated,1/02/15
AggravatedSexualAssault,Wiri.,AucklandRegion,1,1,UNKNOWN,NotStated,1/12/14
AggravatedSexualAssault,Hillmorton.,CanterburyRegion,1,1,Fri,NotStated,1/03/15
AggravatedSexualAssault,RedwoodNorth.,CanterburyRegion,1,1,Mon,NotApplicable,1/03/15
AggravatedSexualAssault,GoldenBay.,TasmanRegion,1,1,Mon,NotApplicable,1/03/15
AggravatedSexualAssault,Melling.,WellingtonRegion,1,1,Sat,NotApplicable,1/03/15
AggravatedSexualAssault,Ngawhatu.,NelsonRegion,1,1,Sat,NotApplicable,1/03/15
AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,Sun,None,1/03/15
AggravatedSexualAssault,Temuka.,CanterburyRegion,1,1,Sun,NotApplicable,1/03/15
Non-AggravatedSexualAssault,Kelburn.,WellingtonRegion,1,1,Sun,NotApplicable,1/03/15
AggravatedSexualAssault,Ferrymead.,CanterburyRegion,1,1,Thu,NotApplicable,1/03/15
AggravatedSexualAssault,RedwoodSouth.,CanterburyRegion,1,1,Thu,NotApplicable,1/03/15
AggravatedSexualAssault,HendersonSouth.,AucklandRegion,1,1,Sun,NotApplicable,1/10/14
Non-AggravatedSexualAssault,KaiparaCoastal.,NorthlandRegion,1,1,Tue,NotApplicable,1/10/14
AggravatedSexualAssault,Broomfield.,CanterburyRegion,1,1,Tue,NotStated,1/03/15
Non-AggravatedSexualAssault,Adelaide.,WellingtonRegion,1,1,Tue,NotApplicable,1/03/15
AggravatedSexualAssault,Miramar.,WellingtonRegion,1,1,UNKNOWN,NotApplicable,1/03/15
AggravatedSexualAssault,Spreydon.,CanterburyRegion,1,1,UNKNOWN,None,1/03/15
AggravatedSexualAssault,Spreydon.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/03/15
AggravatedSexualAssault,Hillmorton.,CanterburyRegion,3,1,UNKNOWN,NotApplicable,1/03/15
AggravatedSexualAssault,Spreydon.,CanterburyRegion,2,1,UNKNOWN,NotStated,1/03/15
AggravatedSexualAssault,RangioraCentral.,CanterburyRegion,1,1,UNKNOWN,NotStated,1/03/15
AggravatedSexualAssault,Riwaka.,TasmanRegion,1,1,UNKNOWN,NotApplicable,1/03/15
Non-AggravatedSexualAssault,Trafalgar.,NelsonRegion,1,1,UNKNOWN,None,1/03/15
AggravatedSexualAssault,Thorndon-TinakoriRoad.,WellingtonRegion,1,1,Wed,NotApplicable,1/03/15
AggravatedSexualAssault,Fairdene.,AucklandRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,Moerewa.,NorthlandRegion,1,1,Wed,NotApplicable,1/10/14
AggravatedSexualAssault,HaraniaNorth.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/08/14
Non-AggravatedSexualAssault,AvonLoop.,CanterburyRegion,1,1,Wed,NotApplicable,1/03/15
Non-AggravatedSexualAssault,WhakataneNorth.,BayofPlentyRegion,1,1,Mon,NotApplicable,1/03/15
Non-AggravatedSexualAssault,WhakataneNorth.,BayofPlentyRegion,1,1,Mon,NotApplicable,1/03/15
Non-AggravatedSexualAssault,Ohope.,BayofPlentyRegion,1,1,Sun,NotStated,1/03/15
AggravatedSexualAssault,TaurangaCentral.,BayofPlentyRegion,1,1,Fri,NotApplicable,1/03/15
AggravatedSexualAssault,Bethlehem.,BayofPlentyRegion,1,1,Mon,NotApplicable,1/03/15
Non-AggravatedSexualAssault,TePukeEast.,BayofPlentyRegion,1,1,Mon,NotApplicable,1/03/15
Non-AggravatedSexualAssault,TePukeWest.,BayofPlentyRegion,1,1,Wed,NotApplicable,1/03/15
Non-AggravatedSexualAssault,HamiltonLake.,WaikatoRegion,1,1,Tue,NotApplicable,1/03/15
AggravatedSexualAssault,Naylor.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/03/15
AggravatedSexualAssault,Kingsland.,AucklandRegion,1,1,Mon,NotApplicable,1/02/15
Non-AggravatedSexualAssault,PonsonbyEast.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Wiri.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/08/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Mon,NotApplicable,1/10/14
Non-AggravatedSexualAssault,UpperRiccarton.,CanterburyRegion,1,1,Mon,NotApplicable,1/10/14
AggravatedSexualAssault,AvonLoop.,CanterburyRegion,1,1,Sat,NotApplicable,1/10/14
AggravatedSexualAssault,Alicetown.,WellingtonRegion,1,1,Sun,NotApplicable,1/10/14
AggravatedSexualAssault,KaiapoiNorthWest.,CanterburyRegion,2,1,Sun,NotApplicable,1/10/14
AggravatedSexualAssault,Methven.,CanterburyRegion,1,1,Sun,NotApplicable,1/10/14
Non-AggravatedSexualAssault,RedwoodSouth.,CanterburyRegion,1,1,Thu,NotApplicable,1/10/14
Non-AggravatedSexualAssault,Phillipstown.,CanterburyRegion,1,1,Thu,NotApplicable,1/10/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Tue,NotApplicable,1/10/14
AggravatedSexualAssault,DinsdaleNorth.,WaikatoRegion,1,1,Wed,NotStated,1/03/15
AggravatedSexualAssault,FairySprings.,BayofPlentyRegion,1,1,Sun,NotApplicable,1/03/15
AggravatedSexualAssault,Kuirau.,BayofPlentyRegion,1,1,Sun,NotApplicable,1/03/15
AggravatedSexualAssault,Kuirau.,BayofPlentyRegion,1,1,Wed,NotApplicable,1/03/15
AggravatedSexualAssault,WaiukuEast.,AucklandRegion,1,1,UNKNOWN,Knife,1/03/15
Non-AggravatedSexualAssault,HastingsCentral.,Hawke'sBayRegion,1,1,Mon,NotApplicable,1/03/15
Non-AggravatedSexualAssault,TrenthamSouth.,WellingtonRegion,1,1,Mon,NotApplicable,1/03/15
AggravatedSexualAssault,HospitalHill.,Hawke'sBayRegion,1,1,Sat,NotApplicable,1/03/15
Non-AggravatedSexualAssault,Penrose.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,BlockhouseBay.,AucklandRegion,1,1,Wed,NotApplicable,1/12/14
AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,Sun,NotApplicable,1/02/15
AggravatedSexualAssault,ClendonNorth.,AucklandRegion,1,1,Wed,NotApplicable,1/08/14
AggravatedSexualAssault,Sydenham.,CanterburyRegion,1,1,Tue,NotStated,1/10/14
Non-AggravatedSexualAssault,OaklandsEast.,CanterburyRegion,1,1,Tue,NotApplicable,1/10/14
AggravatedSexualAssault,CashmereWest.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/10/14
AggravatedSexualAssault,Yaldhurst.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/10/14
AggravatedSexualAssault,Tahunanui.,NelsonRegion,1,1,UNKNOWN,NotApplicable,1/10/14
Non-AggravatedSexualAssault,NewtownWest.,WellingtonRegion,1,1,UNKNOWN,NotApplicable,1/10/14
Non-AggravatedSexualAssault,NewtownWest.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/10/14
AggravatedSexualAssault,Allandale-Mokorua.,BayofPlentyRegion,1,1,Sat,Knife,1/10/14
Non-AggravatedSexualAssault,Matata.,BayofPlentyRegion,1,1,Tue,NotStated,1/10/14
AggravatedSexualAssault,Otakiri.,BayofPlentyRegion,1,1,UNKNOWN,NotApplicable,1/10/14
AggravatedSexualAssault,Matahina-Minginui.,BayofPlentyRegion,1,1,UNKNOWN,NotApplicable,1/10/14
Non-AggravatedSexualAssault,SandringhamNorth.,AucklandRegion,1,1,Mon,NotApplicable,1/03/15
AggravatedSexualAssault,AucklandHarbourside.,AucklandRegion,1,1,Thu,NotApplicable,1/02/15
Non-AggravatedSexualAssault,Huapai.,AucklandRegion,1,1,Thu,NotApplicable,1/02/15
Non-AggravatedSexualAssault,WillisStreet-CambridgeTerrace.,WellingtonRegion,1,1,Sat,NotApplicable,1/02/15
Non-AggravatedSexualAssault,RichmondWest.,TasmanRegion,1,1,Sun,NotApplicable,1/02/15
AggravatedSexualAssault,RichmondEast.,TasmanRegion,1,1,Tue,NotApplicable,1/02/15
Non-AggravatedSexualAssault,WillisStreet-CambridgeTerrace.,WellingtonRegion,1,1,Tue,NotApplicable,1/02/15
Non-AggravatedSexualAssault,TeRapa.,WaikatoRegion,1,1,Sun,NotStated,1/02/15
AggravatedSexualAssault,MangereSouth.,AucklandRegion,1,1,Wed,NotApplicable,1/12/14
Non-AggravatedSexualAssault,Okoki-Okau.,TaranakiRegion,1,1,Fri,NotStated,1/12/14
AggravatedSexualAssault,Merrilands.,TaranakiRegion,1,1,Mon,NotApplicable,1/12/14
AggravatedSexualAssault,PalmerstonNorthHospital.,Manawatu-WanganuiRegion,1,1,Mon,NotApplicable,1/12/14
Non-AggravatedSexualAssault,Paraite.,TaranakiRegion,1,1,Sat,NotStated,1/12/14
AggravatedSexualAssault,ParaparaumuCentral.,WellingtonRegion,1,1,Tue,NotApplicable,1/12/14
AggravatedSexualAssault,PoriruaCentral.,WellingtonRegion,1,1,Tue,NotApplicable,1/12/14
AggravatedSexualAssault,MarslandHill.,TaranakiRegion,1,1,UNKNOWN,NotStated,1/12/14
AggravatedSexualAssault,LairdPark.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,HokowhituEast.,Manawatu-WanganuiRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,PapakowhaiSouth.,WellingtonRegion,1,1,Wed,NotApplicable,1/12/14
Non-AggravatedSexualAssault,HillsboroughWest.,AucklandRegion,1,1,Wed,NotStated,1/08/14
AggravatedSexualAssault,Kaitake.,TaranakiRegion,1,1,Sat,NotApplicable,1/08/14
AggravatedSexualAssault,PoriruaCentral.,WellingtonRegion,1,1,Sun,NotStated,1/08/14
Non-AggravatedSexualAssault,PalmerstonNorthCentral.,Manawatu-WanganuiRegion,1,1,Sun,NotApplicable,1/08/14
Non-AggravatedSexualAssault,PalmerstonNorthCentral.,Manawatu-WanganuiRegion,1,1,Tue,NotApplicable,1/08/14
AggravatedSexualAssault,NewPlymouthCentral.,TaranakiRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,Waitangirua.,WellingtonRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,KaitaiaWest.,NorthlandRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,CapeRodneySouth.,AucklandRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,StanmoreBayWest.,AucklandRegion,1,1,Sat,NotApplicable,1/12/14
AggravatedSexualAssault,Kaukapakapa.,AucklandRegion,1,1,Thu,NotStated,1/12/14
Non-AggravatedSexualAssault,Waitangi.,NorthlandRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,Kaikohe.,NorthlandRegion,1,1,Sat,NotApplicable,1/08/14
AggravatedSexualAssault,ParakaiUrban.,AucklandRegion,1,1,Thu,NotStated,1/12/14
AggravatedSexualAssault,Punaruku-Kiripaka.,NorthlandRegion,1,1,Tue,NotApplicable,1/12/14
Non-AggravatedSexualAssault,MonarchPark.,AucklandRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,WaimumuNorth.,AucklandRegion,1,1,Thu,NotApplicable,1/08/14
AggravatedSexualAssault,WhakataneNorth.,BayofPlentyRegion,1,1,Wed,NotStated,1/10/14
AggravatedSexualAssault,Matua.,BayofPlentyRegion,1,1,Wed,NotApplicable,1/10/14
AggravatedSexualAssault,TeRapa.,WaikatoRegion,1,1,Fri,NotApplicable,1/10/14
AggravatedSexualAssault,Brymer.,WaikatoRegion,1,1,Sun,NotApplicable,1/10/14
AggravatedSexualAssault,Grandview.,WaikatoRegion,1,1,Sun,NotStated,1/10/14
AggravatedSexualAssault,Clarkin.,WaikatoRegion,1,1,Sun,NotStated,1/10/14
Non-AggravatedSexualAssault,Chedworth.,WaikatoRegion,1,1,Sun,NotApplicable,1/10/14
AggravatedSexualAssault,Queenwood.,WaikatoRegion,1,1,Thu,NotApplicable,1/10/14
AggravatedSexualAssault,Waiotira-Springfield.,NorthlandRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Manly.,AucklandRegion,1,1,Wed,NotStated,1/12/14
AggravatedSexualAssault,Raroa.,WellingtonRegion,1,1,Fri,NotApplicable,1/12/14
Non-AggravatedSexualAssault,JelliePark.,CanterburyRegion,1,1,Mon,NotApplicable,1/12/14
AggravatedSexualAssault,Seatoun.,WellingtonRegion,1,1,Sat,NotApplicable,1/12/14
AggravatedSexualAssault,GovernorsBay.,CanterburyRegion,1,1,Sat,NotApplicable,1/12/14
AggravatedSexualAssault,LinwoodEast.,CanterburyRegion,1,1,Sat,NotStated,1/12/14
AggravatedSexualAssault,RichmondWest.,TasmanRegion,1,1,Sat,NotApplicable,1/12/14
AggravatedSexualAssault,Whitney.,MarlboroughRegion,1,1,Sat,NotStated,1/12/14
AggravatedSexualAssault,NewtownEast.,WellingtonRegion,1,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,CathedralSquare.,CanterburyRegion,1,1,Tue,NotApplicable,1/12/14
Non-AggravatedSexualAssault,HornbySouth.,CanterburyRegion,1,1,Tue,NotApplicable,1/12/14
AggravatedSexualAssault,GreymouthCentral.,WestCoastRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Addington.,CanterburyRegion,1,1,UNKNOWN,NotStated,1/12/14
AggravatedSexualAssault,Nayland.,NelsonRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Springlands.,MarlboroughRegion,1,1,UNKNOWN,NotApplicable,1/12/14
Non-AggravatedSexualAssault,Westlake.,AucklandRegion,1,1,Tue,NotApplicable,1/08/14
AggravatedSexualAssault,Kaikohe.,NorthlandRegion,1,1,Wed,NotStated,1/08/14
AggravatedSexualAssault,RangioraCentral.,CanterburyRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,Rawhiti.,CanterburyRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,Sumner.,CanterburyRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,StAlbansEast.,CanterburyRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,Grampians.,NelsonRegion,1,1,Fri,NotApplicable,1/08/14
AggravatedSexualAssault,ShirleyWest.,CanterburyRegion,1,1,Mon,NotApplicable,1/08/14
AggravatedSexualAssault,Paparua.,CanterburyRegion,1,1,Mon,NotApplicable,1/08/14
AggravatedSexualAssault,Sockburn.,CanterburyRegion,1,1,Mon,NotStated,1/08/14
Non-AggravatedSexualAssault,Opawa.,CanterburyRegion,1,1,Mon,NotApplicable,1/08/14
AggravatedSexualAssault,ParnellWest.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/03/15
Non-AggravatedSexualAssault,Wesley.,AucklandRegion,1,1,UNKNOWN,NotApplicable,1/03/15
AggravatedSexualAssault,HamiltonLake.,WaikatoRegion,1,1,Fri,NotApplicable,1/12/14
Non-AggravatedSexualAssault,Bader.,WaikatoRegion,1,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,Clarkin.,WaikatoRegion,36,1,UNKNOWN,NotStated,1/12/14
AggravatedSexualAssault,TePahu.,WaikatoRegion,1,1,Fri,NotApplicable,1/12/14
AggravatedSexualAssault,Kuirau.,BayofPlentyRegion,1,1,Fri,NotApplicable,1/12/14
Non-AggravatedSexualAssault,Kuirau.,BayofPlentyRegion,1,1,Wed,NotApplicable,1/12/14
Non-AggravatedSexualAssault,GlenfieldCentral.,AucklandRegion,1,1,Tue,NotApplicable,1/03/15
Non-AggravatedSexualAssault,HagleyPark.,CanterburyRegion,1,1,Sat,NotApplicable,1/08/14
AggravatedSexualAssault,MtCook-WallaceStreet.,WellingtonRegion,1,1,Sun,NotStated,1/08/14
AggravatedSexualAssault,TimaruGardens.,CanterburyRegion,1,1,Sun,NotApplicable,1/08/14
Non-AggravatedSexualAssault,MtVictoriaWest.,WellingtonRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,KilbirnieWest-HataitaiSouth.,WellingtonRegion,1,1,Thu,NotApplicable,1/08/14
AggravatedSexualAssault,Middleton.,CanterburyRegion,1,1,Thu,NotApplicable,1/08/14
