CountiresandAreas,AnyViolentDiscipline,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest
Somalia,,,,,,,,,,
SouthAfrica,,,,,,,,,,
SouthSudan,,,,,,,,,,
Spain,,,,,,,,,,
SriLanka,,,,,,,,,,
StateofPalestine,92,93,92,92,93,95,94,91,90,90
Sudan,64,65,63,68,62,54,59,69,70,72
Suriname,86,87,85,85,88,92,88,81,83,81
Swaziland,88,89,88,85,89,92,88,89,92,79
Sweden,,,,,,,,,,
Switzerland,,,,,,,,,,
SyrianArabRepublic,89,90,88,88,89,88,90,90,88,87
Tajikistan,78,80,75,77,78,80,76,79,76,77
Thailand,75,77,73,74,76,83,79,77,74,63
TheformerYugoslavRepublicofMacedonia,69,71,67,67,72,78,66,68,65,69
TimorLeste,,,,,,,,,,
Togo,81,81,80,82,80,77,82,82,84,79
Tonga,,,,,,,,,,
TrinidadandTobago,77,78,77,,,80,78,80,76,73
Tunisia,93,94,92,93,94,94,93,93,93,94
Turkey,,,,,,,,,,
Turkmenistan,37,39,34,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,,,,,,,,
Ukraine,61,68,55,59,65,62,61,56,67,60
UnitedArabEmirates,,,,,,,,,,
UnitedKingdom,,,,,,,,,,
UnitedRepublicofTanzania,,,,,,,,,,
UnitedStates,,,,,,,,,,
Uruguay,55,58,51,56,42,,,,,
Uzbekistan,,,,,,,,,,
Vanuatu,84,83,84,83,84,80,85,86,84,82
Venezuela(BolivarianRepublicof),,,,,,,,,,
VietNam,68,72,65,67,69,72,73,73,65,60
Yemen,79,81,77,76,80,82,84,79,76,74
Zambia,,,,,,,,,,
Zimbabwe,63,63,62,68,61,61,63,60,64,67
